Date,popularityscore,Open,High,Low,Close,Volume,Adj Close
25-08-2014,20,333.209991,346.670013,332.709991,339.040009,2553200,339.040009
18-08-2014,16,335.480011,337.799988,330.799988,331.589996,2038400,331.589996
11-08-2014,14,318.480011,335,316.880005,333.630005,3328100,333.630005
04-08-2014,19,308.839996,317.320007,308.5,316.799988,2998200,316.799988
28-07-2014,27,324.25,324.820007,304.589996,307.059998,5083600,307.059998
21-07-2014,31,358.100006,364.850006,314.76001,324.01001,6557900,324.01001
14-07-2014,17,347.029999,359.679993,345.359985,358.660004,4065500,358.660004
07-07-2014,15,337.5,347,321.399994,346.200012,4106400,346.200012
30-06-2014,14,324.980011,338.299988,322.23999,337.48999,2617600,337.48999
23-06-2014,14,323.329987,329.730011,321.410004,324.570007,2534900,324.570007
16-06-2014,29,324.859985,338.899994,320.420013,324.200012,4630000,324.200012
09-06-2014,16,331.570007,340.720001,323.529999,326.269989,3670700,326.269989
02-06-2014,15,312.589996,330.880005,303.839996,329.670013,3946000,329.670013
27-05-2014,17,314.410004,314.869995,307.380005,312.549988,3553400,312.549988
19-05-2014,18,295.76001,312.350006,293.809998,312.23999,3083600,312.23999
12-05-2014,18,294.299988,305.600006,290.380005,297.700012,3698900,297.700012
05-05-2014,20,306.369995,310.230011,284.380005,292.23999,4425700,292.23999
28-04-2014,25,304,313.290009,288,308.01001,6680200,308.01001
21-04-2014,25,323.970001,337.5,302.709991,303.829987,7157900,303.829987
14-04-2014,16,317.670013,328.660004,305.5,324.910004,4569000,324.910004
07-04-2014,21,320.98999,332.179993,309.5,311.730011,6425100,311.730011
31-03-2014,23,342.399994,348.299988,315.609985,323,6261400,323
24-03-2014,19,360.089996,361.5,330.880005,338.290009,4638600,338.290009
17-03-2014,16,375.720001,379,358.399994,360.619995,3081100,360.619995
10-03-2014,18,372.690002,383.109985,363.609985,373.73999,3559900,373.73999
03-03-2014,17,358.73999,375.329987,354.480011,372.059998,2911400,372.059998
24-02-2014,18,345.190002,365.869995,343.290009,362.100006,3598000,362.100006
18-02-2014,14,355.279999,355.730011,344.380005,346.76001,4217200,346.76001
10-02-2014,16,361.609985,365,346.320007,357.350006,4190900,357.350006
03-02-2014,22,358.980011,361.799988,337.730011,361.079987,5439000,361.079987
27-01-2014,27,390.5,406.25,357.76001,358.690002,7368400,358.690002
21-01-2014,16,403,408.059998,387.269989,387.600006,3166600,387.600006
13-01-2014,19,397.980011,403.48999,388.450012,399.609985,2993900,399.609985
06-01-2014,16,395.850006,406.890015,388.420013,397.660004,2437100,397.660004
30-12-2013,18,399.410004,402.709991,392.450012,396.440002,2207900,396.440002
23-12-2013,23,403.690002,405.630005,396.25,398.079987,1973800,398.079987
16-12-2013,20,385.029999,404.720001,383.100006,402.200012,3109100,402.200012
09-12-2013,19,388.109985,389.420013,379.5,384.23999,2619700,384.23999
02-12-2013,43,399,399,381.369995,386.950012,2932600,386.950012
25-11-2013,19,373.820007,394.100006,373.179993,393.619995,2593100,393.619995
18-11-2013,18,370.279999,374.5,360.450012,372.309998,2268700,372.309998
11-11-2013,18,350.589996,372.899994,345.679993,369.170013,3205900,369.170013
04-11-2013,18,360.119995,362.869995,341.880005,350.309998,2626200,350.309998
28-10-2013,19,359.920013,366,356.100006,359,3224200,359
